name,parent_name,desc,rank
gi-J-8LZJ,gi-J-LR8,"Abrocoma cinerea Thomas, 1919",species
gi-J-LR8,gi-J-622QK,"Abrocoma Waterhouse, 1837",genus
gi-J-622QK,gi-J-4L7,"Abrocomidae Miller & Gidley, 1918",family
gi-J-373KH,gi-J-47BQ,Dodecatheon subalpinum Eastw.,species
gi-J-47BQ,gi-J-BVBDB,Dodecatheon L.,genus
gi-J-BVBDB,gi-J-627BN,Primuloideae Burnett,subfamily
gi-J-627BN,gi-J-625QY,Primulaceae Batsch ex Borkh.,family
gi-J-625QY,gi-J-MG,Ericales,order
gi-J-ZK8K,gi-J-3W2V,"Crocidura zaphiri Dollman, 1915",species
gi-J-3W2V,gi-J-626TY,"Crocidura Wagler, 1832",genus
gi-J-626TY,gi-J-626YH,"Crocidurinae Milne-Edwards, 1872",subfamily
gi-J-5H77H,gi-J-3BH6X,Eschscholzia minutiflora subsp. minutiflora,subspecies
gi-J-3BH6X,gi-J-62RSK,Eschscholzia minutiflora S. Watson,species
gi-J-62RSK,gi-J-93LTF,Eschscholzia Cham.,genus
gi-J-5GXNP,gi-J-36ZJB,Dittrichia viscosa subsp. viscosa,subspecies
gi-J-36ZJB,gi-J-475Y,Dittrichia viscosa (L.) Greuter,species
gi-J-475Y,gi-J-J6T,Dittrichia Greuter,genus
gi-J-F4N4,gi-J-XV3,"Antrostomus noctitherus (Wetmore, 1919)",species
gi-J-XV3,gi-J-7PQ,"Antrostomus Bonaparte, 1838",genus
gi-J-7PQ,gi-J-VJ,Caprimulgidae,family
gi-J-VJ,gi-J-V2,Caprimulgiformes,order
gi-J-65JQQ,gi-J-QH8,"Agama finchi Böhme, Wagner, Malonza, Lötters & Köhler, 2005",species
gi-J-QH8,gi-J-87CD2,Agama,genus
gi-J-87CD2,gi-J-64B,Agaminae,subfamily
gi-J-64B,gi-J-87BW7,Agamidae,family
gi-J-87BW7,gi-J-BXVXG,Iguania,superfamily
gi-J-5XGJD,gi-J-3K37,Celosia virgata Jacq.,species
gi-J-3K37,gi-J-62758,Celosia L.,genus
gi-J-62758,gi-J-68Z,Amaranthoideae Burnett,subfamily
gi-J-68Z,gi-J-BMH4R,Amaranthaceae Juss.,family
gi-J-45VRB,gi-J-5XX7,Navarretia prostrata (A. Gray) Greene,species
gi-J-5XX7,gi-J-K6Q,Navarretia Ruiz & Pav.,genus
gi-J-K6Q,gi-J-627H7,Polemonioideae Arn.,subfamily
gi-J-627H7,gi-J-625QY,Polemoniaceae Juss.,family
gi-J-48CY,gi-J-CQJ,"Dromiciops Thomas, 1894",genus
gi-J-CQJ,gi-J-3K7,"Microbiotheriidae Ameghino, 1887",family
gi-J-3K7,gi-J-LJ,"Microbiotheria Ameghino, 1889",order
gi-J-BNR3L,gi-J-48NBQ,"Odocoileus virginianus clavium Barbour & G. M. Allen, 1922",subspecies
gi-J-48NBQ,gi-J-66TN,"Odocoileus virginianus (Zimmermann, 1780)",species
gi-J-66TN,gi-J-626SC,"Odocoileus Rafinesque, 1832",genus
gi-J-626SC,gi-J-7XR,"Capreolinae Brookes, 1828",subfamily
gi-J-7XR,gi-J-B6L7D,"Cervidae Goldfuss, 1820",family
gi-J-B6L7D,gi-J-LG,"Artiodactyla Owen, 1848",order
gi-J-3H4WP,gi-J-4QH5,"Goura cristata (Pallas, 1764)",species
gi-J-4QH5,gi-J-JMD,"Goura Stephens, 1819",genus
gi-J-JMD,gi-J-8GD,Gourinae,subfamily
