name,parent_name,desc,rank
gi-L-8PS4F,gi-L-8NKXN,"Melanoplini Scudder, 1897",tribe
gi-L-8NKXN,gi-L-8NKGT,"Melanoplinae Scudder, 1897",subfamily
gi-L-8NKGT,gi-L-B7W47,"Acrididae MacLeay, 1821",family
gi-L-B7W47,gi-L-8NKFS,"Acridoidea MacLeay, 1821",superfamily
gi-L-8NKFS,gi-L-8NKFL,"Acrididea Targioni-Tozzetti, 1882",infraorder
gi-L-8NKFL,gi-L-B7VSM,"Caelifera Ander, 1936",suborder
gi-L-6GQ4Q,gi-L-633LL,Erigeron pallens Cronquist,species
gi-L-633LL,gi-L-J6T,Erigeron L.,genus
gi-L-3TG2S,gi-L-5CP2,"Lepomis peltastes Cope, 1870",species
gi-L-5CP2,gi-L-622LH,Lepomis,genus
gi-L-622LH,gi-L-PC,Centrarchidae,family
gi-L-PC,gi-L-BXVWY,Perciformes,order
gi-L-36ZKR,gi-L-4769,"Diuca diuca (Molina, 1782)",species
gi-L-4769,gi-L-H87,"Diuca Reichenbach, 1850",genus
gi-L-H87,gi-L-3RL,Thraupidae,family
gi-L-CQN3,gi-L-6298M,Amelanchier bartramiana (Tausch) M. Roem.,species
gi-L-6298M,gi-L-BVBB9,Amelanchier Medik.,genus
gi-L-BVBB9,gi-L-FTK,Amygdaloideae Arn.,subfamily
gi-L-FTK,gi-L-BMGVT,Rosaceae Juss.,family
gi-L-626M3,gi-L-46J,"Sulidae Reichenbach, 1849",family
gi-L-46J,gi-L-V2,Suliformes,order
gi-L-725KC,gi-L-638ZH,"Leucocarbo ranfurlyi (Ogilvie-Grant, 1901)",species
gi-L-638ZH,gi-L-62694,"Leucocarbo Bonaparte, 1856",genus
gi-L-62694,gi-L-46J,"Phalacrocoracidae Reichenbach, 1849",family
gi-L-6NBJ7,gi-L-7NF35,Isotrema californicum (Torr.) H. Huber,species
gi-L-7NF35,gi-L-J6F,Isotrema Raf.,genus
gi-L-J6F,gi-L-6QB,Aristolochioideae Burnett,subfamily
gi-L-6QB,gi-L-BMH5J,Aristolochiaceae Juss.,family
gi-L-BMH5J,gi-L-MG,Piperales Bercht. & J. Presl,order
gi-L-VDP3,gi-L-62LC4,"Cinclodes palliatus (Tschudi, 1844)",species
gi-L-62LC4,gi-L-6245S,"Cinclodes G. R. Gray, 1840",genus
gi-L-64985,gi-L-KJB,"Zapus Coues, 1875",genus
gi-L-KJB,gi-L-9CB,"Zapodinae Coues, 1875",subfamily
gi-L-9CB,gi-L-537,"Dipodidae Fischer de Waldheim, 1817",family
gi-L-537,gi-L-622X6,"Dipodoidea Fischer de Waldheim, 1817",superfamily
gi-L-46YFP,gi-L-636S,"Nepheronia argia (Fabricius, 1775)",species
gi-L-636S,gi-L-625MK,Nepheronia,genus
gi-L-625MK,gi-L-5G9,Pieridae,family
gi-L-53Q8G,gi-L-7QW7,Symphyotrichum molle (Rydb.) G. L. Nesom,species
gi-L-7QW7,gi-L-J6T,Symphyotrichum Nees,genus
gi-L-3264S,gi-L-62PXK,"Ctenomys coludo Thomas, 1920",species
gi-L-62PXK,gi-L-8RV,"Ctenomys Blainville, 1826",genus
gi-L-8RV,gi-L-4L7,"Ctenomyidae Lesson, 1842",family
gi-L-4L7,gi-L-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-L-4DX,gi-L-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-L-3YHSF,gi-L-5M9P,"Mayrornis lessoni (G. R. Gray, 1846)",species
gi-L-5M9P,gi-L-CVP,"Mayrornis Wetmore, 1932",genus
gi-L-CVP,gi-L-3RL,"Monarchidae Bonaparte, 1854",family
gi-L-3G63X,gi-L-4NTQ,"Glaucidium hardyi Vielliard, 1989",species
gi-L-4NTQ,gi-L-KDW,"Glaucidium F. Boie, 1826",genus
gi-L-KDW,gi-L-GQX,Surniinae,subfamily
gi-L-GQX,gi-L-466,Strigidae,family
gi-L-466,gi-L-V2,Strigiformes,order
gi-L-4H7XF,gi-L-6PPG,"Phyllomyias virescens (Temminck, 1824)",species
gi-L-6PPG,gi-L-HMW,"Phyllomyias Cabanis & Heine, 1859",genus
gi-L-HMW,gi-L-3RL,Tyrannidae,family
gi-L-7L2DY,gi-L-4TKGB,Rubus idaeus subsp. idaeus,subspecies
gi-L-4TKGB,gi-L-643JJ,Rubus idaeus L.,species
gi-L-643JJ,gi-L-628NC,Rubus L.,genus
gi-L-628NC,gi-L-FTK,Rosoideae Arn.,subfamily
gi-L-8YV9,gi-L-627P2,"Acanthopagrus chinshira Kume & Yoshino, 2008",species
gi-L-627P2,gi-L-626ZQ,Acanthopagrus,genus
gi-L-626ZQ,gi-L-PC,Sparidae,family
gi-L-6THKJ,gi-L-6BYK,Pachypodium lealii Welw.,species
gi-L-6BYK,gi-L-93LSP,Pachypodium Lindl.,genus
gi-L-93LSP,gi-L-6L2,Apocynoideae Burnett,subfamily
gi-L-6L2,gi-L-BMGVQ,Apocynaceae Juss.,family
gi-L-BMGVQ,gi-L-MG,Gentianales Juss. ex Bercht. & J. Presl,order
gi-L-6L5DK,gi-L-4RMM,Gutierrezia wrightii A. Gray,species
gi-L-4RMM,gi-L-J6T,Gutierrezia Lag.,genus
gi-L-9G8BG,gi-L-7LMG,"Sporophila angolensis (Linnaeus, 1766)",species
gi-L-7LMG,gi-L-H87,"Sporophila Cabanis, 1844",genus
gi-L-WDVM,gi-L-3R9X,"Clyomys bishopi Ávila-Pires & Wutke, 1981",species
gi-L-3R9X,gi-L-JK6,"Clyomys Thomas, 1916",genus
gi-L-JK6,gi-L-9JX,"Eumysopinae Rusconi, 1935",subfamily
gi-L-9JX,gi-L-4L7,"Echimyidae Gray, 1825",family
gi-L-4MQKN,gi-L-6WFQ,"Proechimys brevicauda (Günther, 1877)",species
gi-L-6WFQ,gi-L-JK6,"Proechimys J. A. Allen, 1899",genus
gi-L-7272D,gi-L-638QP,Lewisia brachycalyx Engelm. ex A. Gray,species
gi-L-638QP,gi-L-CXG,Lewisia Pursh,genus
gi-L-CXG,gi-L-BMH4R,Montiaceae Raf.,family
gi-L-73Q7B,gi-L-63CXX,Monteverdia ilicifolia (Mart. ex Reissek) Biral,species
gi-L-63CXX,gi-L-BV7KZ,Monteverdia A. Rich.,genus
gi-L-BV7KZ,gi-L-622JV,Maytenoideae Biral & Lombardi,subfamily
gi-L-622JV,gi-L-BMH4S,Celastraceae R. Br.,family
gi-L-BMH4S,gi-L-MG,Celastrales Link,order
gi-L-6YRVX,gi-L-63SBZ,"Sminthopsis gilberti Kitchener, Stoddart & Henry, 1984",species
gi-L-63SBZ,gi-L-L8L,"Sminthopsis Thomas, 1887",genus
gi-L-L8L,gi-L-KC5,"Sminthopsini Archer, 1982",tribe
gi-L-KC5,gi-L-8ZW,"Sminthopsinae Archer, 1982",subfamily
gi-L-8ZW,gi-L-B6L7T,"Dasyuridae Goldfuss, 1820",family
gi-L-B6L7T,gi-L-LJ,"Dasyuromorphia Gill, 1872",order
gi-L-LJ,gi-L-924GT,"Metatheria Huxley, 1880",infraclass
gi-L-34B7X,gi-L-426L,"Daubentonia madagascariensis (Gmelin, 1788)",species
gi-L-426L,gi-L-923,"Daubentonia É. Geoffroy Saint-Hilaire, 1795",genus
gi-L-923,gi-L-4HV,"Daubentoniidae Gray, 1863",family
gi-L-4HV,gi-L-4FM,"Chiromyiformes Anthony & Coupin, 1931",infraorder
gi-L-4FM,gi-L-BMGW3,"Strepsirrhini É. Geoffroy Saint-Hilaire, 1812",suborder
gi-L-BMGW3,gi-L-LG,"Primates Linnaeus, 1758",order
gi-L-476BD,gi-L-63FHX,"Nerodia clarkii (Baird & Girard, 1853)",species
gi-L-63FHX,gi-L-87CKJ,Nerodia,genus
gi-L-87CKJ,gi-L-8G9,Natricinae,subfamily
gi-L-4M38X,gi-L-6V59,"Potamarius usumacintae Betancur-R. & Willink, 2007",species
gi-L-6V59,gi-L-6Q6,Potamarius,genus
gi-L-6Q6,gi-L-6236K,Ariidae,family
gi-L-6236K,gi-L-BXVWY,Siluriformes,order
gi-L-8LZJ6,gi-L-65ZM,"Nycticeinops crassulus (Thomas, 1904)",species
